,Iron_ore_mix_ratio,coke_ratio,quick_lime,returning_sinter,light_burning,second_water,bed_depth,trolley_speed,flue_temp,ignition_temp,pressure_flue
428,0.593404808317089,0.05084470435347628,0.0640025990903184,0.2542235217673814,0.03752436647173489,5.652,734.88,2.412,148.0,891.0,561.172
429,0.5902715849209567,0.05099310903931901,0.0650182407782732,0.2569922983380624,0.036724766923388726,6.132,733.822,2.412,146.0,889.0,559.219
430,0.5982801979394825,0.05053946621237933,0.06506043644033423,0.24896568508152836,0.03715421432627566,6.136,738.217,2.399,147.0,879.0,559.219
431,0.5950567260940033,0.051053484602917344,0.06377633711507293,0.253322528363047,0.03679092382495947,6.007,733.089,2.403,148.0,867.0,539.683
432,0.5921792260692464,0.050509164969450106,0.06452138492871691,0.254826883910387,0.037963340122199596,5.667,742.532,2.402,146.0,862.0,556.288
433,0.5960334029227558,0.05074674803276057,0.06463786735185482,0.25164605749156904,0.03693592420105991,5.967,732.438,2.414,147.0,869.0,555.311
434,0.5896378186618266,0.0510683936968897,0.06690867090174078,0.2544344526029206,0.03795066413662239,6.366,733.578,2.402,147.0,868.0,543.59
435,0.5986378205128204,0.0501602564102564,0.06394230769230769,0.24983974358974353,0.03741987179487179,6.051,732.926,2.412,146.0,862.0,550.427
436,0.5908646003262643,0.05171288743882545,0.06517128874388255,0.2543230016313214,0.03792822185970637,6.011,727.31,2.406,147.0,857.0,559.219
437,0.5971351835273052,0.05135509074631724,0.06673720192072921,0.24806706274924717,0.036705461056401066,5.74,734.88,2.404,146.0,855.0,565.079
438,0.5941147859922179,0.05050259403372243,0.06501297016861218,0.2529993514915694,0.03737029831387807,5.828,737.892,2.409,146.0,854.0,558.242
439,0.5912372417226786,0.052194838602605584,0.06439299643183137,0.25475064310015766,0.03742428014272674,6.022,736.834,2.4,146.0,865.0,551.404
440,0.6053818884950048,0.05051563003544956,0.06268127618433773,0.24468256525942636,0.0367386400257815,5.853,739.276,2.408,147.0,876.0,558.242
441,0.5960056352034475,0.04988812463744095,0.06695947625756195,0.24877765807574378,0.03836910582580592,6.315,735.613,2.399,146.0,883.0,558.242
442,0.6024106197573093,0.05155142926948449,0.06507044547601597,0.24342373157423244,0.0375437739229579,5.799,734.717,2.401,149.0,887.0,556.288
443,0.5905010608780805,0.05124857189489145,0.0656112289864534,0.2546923453566182,0.037946792883956255,5.824,738.299,2.406,148.0,891.0,544.567
444,0.5958410874666235,0.0506513471963751,0.06408285459988672,0.2517193947730399,0.03770531596407476,6.227,760.847,2.401,147.0,893.0,556.288
445,0.5950125495911261,0.04930774836045664,0.06461015302404663,0.25358270585377696,0.037486843170593476,5.846,767.277,2.4,149.0,894.0,547.497
446,0.59189852700491,0.05188216039279869,0.06587561374795418,0.2525368248772504,0.03780687397708674,6.289,754.579,2.4,150.0,906.0,555.311
447,0.6007879713757337,0.050494492240894105,0.06360054675564847,0.2484521990833802,0.0366647905443435,6.048,759.056,2.4,150.0,909.0,555.311
448,0.5906208277703605,0.05181909212283043,0.06558744993324432,0.25417222963951935,0.03780040053404539,6.366,727.798,2.406,149.0,916.0,541.636
449,0.6050060557125555,0.05086798546628987,0.06515946709729512,0.24247073072264835,0.03649576100121114,6.3,740.008,2.411,150.0,942.0,546.52
450,0.5900281596819613,0.052261056816299487,0.06609243001490807,0.253023024681133,0.038595328805698194,6.026,753.032,2.406,149.0,965.0,543.59
451,0.5983109216136437,0.05059035749426042,0.06469334207937028,0.2482781239750738,0.03812725483765169,5.941,738.787,2.406,149.0,974.0,550.427
452,0.5942112167923909,0.05182026894063627,0.06477533617579534,0.25155788783207605,0.03763529025910134,6.183,777.127,2.354,150.0,963.0,555.311
453,0.5961174631899316,0.0505881385210167,0.06597022291683803,0.24915686435798304,0.03816731101423049,6.3,761.579,2.353,150.0,982.0,543.59
