,0
1048,72.69791
1049,72.369606
1050,76.20508
1051,73.84845
1052,74.15349
1053,74.71908
1054,74.77131
1055,72.777756
1056,72.39397
1057,75.93956
1058,73.56943
1059,73.92167
1060,74.3376
1061,74.4333
1062,72.33484
1063,72.039955
1064,75.77596
1065,73.52923
1066,73.78235
1067,74.22503
1068,74.36956
1069,72.38712
1070,72.020355
1071,76.188835
1072,73.77452
1073,73.98822
1074,74.43268
1075,74.54471
1076,72.573425
1077,72.203674
1078,75.95252
1079,73.63642
1080,73.92602
1081,74.431
1082,74.497986
1083,72.50091
1084,72.05783
1085,75.628075
1086,73.31118
1087,73.62887
1088,74.069954
1089,74.187126
1090,72.298706
1091,71.86232
1092,75.776306
1093,73.42719
1094,73.68811
1095,74.113434
1096,74.214035
1097,72.21121
1098,71.81937
1099,75.78915
1100,73.42369
1101,73.577805
1102,74.046745
1103,74.15965
1104,72.243004
1105,71.920845
1106,75.41061
1107,72.99261
1108,73.19194
1109,73.67467
1110,73.79489
1111,71.89286
1112,71.55782
1113,75.4104
1114,73.04638
1115,73.41643
1116,73.9402
1117,74.03807
1118,72.11201
1119,71.68027
1120,75.47962
1121,73.162674
1122,73.48438
1123,73.96493
1124,74.145515
1125,72.0566
1126,71.708755
1127,75.42312
1128,73.04091
1129,73.36654
1130,73.78713
1131,73.908676
1132,71.939644
1133,71.49232
1134,75.21445
1135,72.85986
1136,73.150154
1137,73.6123
1138,73.8121
1139,71.922165
1140,71.489845
1141,74.98376
1142,72.686676
1143,72.93566
1144,73.49502
1145,73.615074
1146,71.71035
1147,71.373375
1148,75.37302
1149,72.97599
1150,73.21878
1151,73.65765
1152,73.75322
1153,71.87373
1154,71.414925
1155,75.26445
1156,72.81527
1157,73.03205
1158,73.504524
1159,73.55524
1160,71.58878
1161,71.17526
1162,75.53705
1163,73.00245
1164,73.24059
1165,73.75193
1166,73.79489
1167,71.85571
1168,71.43492
1169,75.17258
1170,72.81014
1171,73.12236
1172,73.57818
1173,73.724945
1174,71.83963
1175,71.44219
1176,74.91642
1177,72.52836
1178,72.84363
1179,73.262146
1180,73.4457
1181,71.50976
1182,71.08757
1183,75.17611
1184,72.74894
1185,73.03685
1186,73.515236
1187,73.56705
1188,71.6318
1189,71.19267
1190,75.20809
1191,72.7054
1192,73.04012
1193,73.47433
1194,73.55057
1195,71.65084
1196,71.26891
1197,74.913956
1198,72.4845
1199,72.785255
1200,73.26997
1201,73.335
1202,71.44297
1203,71.04763
1204,74.83828
1205,72.40864
1206,72.7167
1207,73.16538
1208,73.26556
1209,71.35627
1210,70.94383
1211,74.91153
1212,72.442955
1213,72.74959
1214,73.19362
1215,73.27034
1216,71.37159
1217,70.948364
1218,74.85726
1219,72.43858
1220,72.70959
1221,73.21
1222,73.25061
1223,71.29545
1224,70.84649
1225,74.67798
1226,72.21954
1227,72.50422
1228,72.9647
1229,72.99332
1230,71.11515
1231,70.664444
1232,74.787186
1233,72.31365
1234,72.6213
1235,72.98819
1236,73.01055
1237,71.13521
1238,70.66689
1239,74.84917
1240,72.37635
1241,72.54054
1242,72.93922
1243,73.06625
1244,71.1668
1245,70.74485
1246,74.53081
1247,72.01895
1248,72.17111
1249,72.60067
1250,72.60896
1251,70.75145
1252,70.44646
1253,74.689964
1254,72.21666
1255,72.53465
1256,72.94634
1257,72.96728
1258,71.05399
1259,70.66994
1260,74.587
1261,72.19955
1262,72.43802
1263,72.898056
1264,73.02535
1265,71.10242
1266,70.65463
1267,74.44746
1268,71.91473
1269,72.27604
1270,72.65924
1271,72.68996
1272,70.793594
1273,70.453995
1274,74.40334
1275,71.934395
1276,72.239815
1277,72.71507
1278,72.75412
1279,70.89679
1280,70.55444
1281,74.48953
1282,71.998215
1283,72.20452
1284,72.6222
1285,72.70144
1286,70.741104
1287,70.28571
1288,74.27386
1289,71.7988
1290,72.09655
1291,72.51591
1292,72.63055
1293,70.78448
1294,70.37678
1295,74.2971
1296,71.82172
1297,72.070435
1298,72.55016
1299,72.58113
1300,70.7225
1301,70.26742
1302,74.082596
1303,71.58348
1304,71.963905
1305,72.415344
1306,72.405556
1307,70.49495
1308,70.01918
1309,74.017685
1310,71.59254
1311,71.92465
1312,72.39084
1313,72.4002
1314,70.44693
1315,70.02866
1316,74.10888
1317,71.58626
1318,71.94974
1319,72.32944
1320,72.391685
1321,70.46632
1322,70.10116
1323,73.739
1324,71.24056
1325,71.572586
1326,72.02521
1327,72.08262
1328,70.20628
1329,69.82137
1330,73.929115
1331,71.4266
1332,71.7708
1333,72.23225
1334,72.2127
1335,70.344986
1336,69.91435
1337,73.94152
1338,71.46082
1339,71.7758
1340,72.21115
1341,72.2426
1342,70.37378
1343,69.8536
1344,73.69577
1345,71.194046
1346,71.47548
1347,71.91234
1348,71.93357
1349,70.05955
1350,69.654106
1351,74.02961
1352,71.48885
1353,71.75177
1354,72.18666
1355,72.260124
1356,70.42406
1357,69.96799
1358,73.7478
1359,71.26348
1360,71.602516
1361,72.118454
1362,72.105736
1363,70.20284
1364,69.75462
1365,73.70091
1366,71.20276
1367,71.59982
1368,72.031555
1369,72.07968
1370,70.15422
1371,69.8049
1372,73.55145
1373,71.02414
1374,71.32508
1375,71.71299
1376,71.775925
1377,69.893684
1378,69.38276
1379,73.70139
1380,71.11056
